Year,Units,Employment status,Industry,Sex,Age group,Value
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Transportation and storage,Female,,4.68
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,0.17
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,35 to 44,0.35
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,65+,1.09
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,,0.26
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,35 to 44,0.55
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,65+,1.42
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,16 to 19,519.19
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,20 to 24,641.31
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,25 to 34,643.3
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,35 to 44,704.46
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,45 to 54,611.51
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,55 to 59,542.53
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,60 to 64,696.99
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,65+,799.91
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,,775.91
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,16 to 19,542.39
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,20 to 24,696.45
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,25 to 34,798.5
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,35 to 44,775.86
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,45 to 54,697.94
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,55 to 59,567.95
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,60 to 64,659.66
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,65+,814.15
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,,810.05
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,20 to 24,567.16
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,25 to 34,658.07
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,45 to 54,811.06
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,55 to 59,810.08
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,687.41
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,20 to 24,599.95
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,25 to 34,709.33
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,35 to 44,895.61
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,45 to 54,879.46
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,55 to 59,596.05
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,60 to 64,712.97
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,65+,910.41
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,,885.35
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,20 to 24,748.59
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,25 to 34,622.45
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,35 to 44,717.34
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,45 to 54,1150.66
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,55 to 59,932.42
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,60 to 64,627.72
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,65+,736.46
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Female,,1145.11
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Female,45 to 54,931.97
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Female,55 to 59,763.58
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,634.75
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,Male,,614.14
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1127.74
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,16 to 19,634.83
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,20 to 24,613.1
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,25 to 34,1127.36
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,35 to 44,1076.7
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,45 to 54,615.99
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,55 to 59,795.39
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,60 to 64,1170.09
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,,615.94
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,16 to 19,797.19
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,20 to 24,1169.76
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,25 to 34,1157.5
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,35 to 44,621.93
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,45 to 54,860.28
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,55 to 59,1171.51
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,60 to 64,622.36
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Female,,859.15
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Female,20 to 24,1172.94
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Electricity, gas, steam and air conditioning supply",,,1139.15
