Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2013,Bilateral,,,,,South and Central Asia,Sri Lanka,,9255.751163
2013,Bilateral,,,,,South and Central Asia,Tajikistan,,7755.722159
2013,Bilateral,,,,,South and Central Asia,Turkmenistan,,512.0683125
2013,Bilateral,,,,,South and Central Asia,Uzbekistan,,1538.879302
2013,Bilateral,,,,,South and Central Asia,Unspecified South Asia Region,,1750.166494
2013,Bilateral,,,,,South and Central Asia,Unspecified Central Asia Region,,0
2013,Bilateral,,,,,South and Central Asia,South and CentralAsia (Country Unspecifed),,0
2013,Bilateral,,,,,Far East Asia,,,78867.34
2013,Bilateral,,,,,Far East Asia,Cambodia,,10961.66818
2013,Bilateral,,,,,Far East Asia,China,,-17971.02218
2013,Bilateral,,,,,Far East Asia,Indonesia,,21980.61639
2013,Bilateral,,,,,Far East Asia,"Korea, Democratic Republic",,1309.468813
2013,Bilateral,,,,,Far East Asia,Laos,,945.575908
2013,Bilateral,,,,,Far East Asia,Malaysia,,3807.974594
2013,Bilateral,,,,,Far East Asia,Mongolia,,427.215126
2013,Bilateral,,,,,Far East Asia,Philippines,,35071.75004
2013,Bilateral,,,,,Far East Asia,Thailand,,-945.389318
2013,Bilateral,,,,,Far East Asia,Timor-Leste,,70.884522
2013,Bilateral,,,,,Far East Asia,Vietnam,,23208.59822
2013,Bilateral,,,,,Far East Asia,Far East Asia (Country Unspecifed),,0
2013,Bilateral,,,,,Latin America and the Caribbean,,,125967.15
2013,Bilateral,,,,,Latin America and the Caribbean,Anguilla,,1804.563821
2013,Bilateral,,,,,Latin America and the Caribbean,Antigua and Barbuda,,19.9946
2013,Bilateral,,,,,Latin America and the Caribbean,Barbados,,0
2013,Bilateral,,,,,Latin America and the Caribbean,Belize,,1663.727406
2013,Bilateral,,,,,Latin America and the Caribbean,Costa Rica,,110.62482
2013,Bilateral,,,,,Latin America and the Caribbean,Cuba,,1096.173736
2013,Bilateral,,,,,Latin America and the Caribbean,Dominica,,31.82402
2013,Bilateral,,,,,Latin America and the Caribbean,Dominican Republic,,243.124367
2013,Bilateral,,,,,Latin America and the Caribbean,El Salvador,,289.238562
2013,Bilateral,,,,,Latin America and the Caribbean,Grenada,,2.43276
2013,Bilateral,,,,,Latin America and the Caribbean,Guatemala,,49271.02256
2013,Bilateral,,,,,Latin America and the Caribbean,Haiti,,9585
2013,Bilateral,,,,,Latin America and the Caribbean,Honduras,,39.20035422
2013,Bilateral,,,,,Latin America and the Caribbean,Jamaica,,12434.34599
2013,Bilateral,,,,,Latin America and the Caribbean,Mexico,,5725.737139
2013,Bilateral,,,,,Latin America and the Caribbean,Montserrat,,31222.4649
2013,Bilateral,,,,,Latin America and the Caribbean,Nicaragua,,52.15035804
2013,Bilateral,,,,,Latin America and the Caribbean,Panama,,420.8990848
2013,Bilateral,,,,,Latin America and the Caribbean,St. Kitts-Nevis,,57.340641
2013,Bilateral,,,,,Latin America and the Caribbean,St. Lucia,,99.945887
2013,Bilateral,,,,,Latin America and the Caribbean,St.Vincent and Grenadines,,30.59224
2013,Bilateral,,,,,Latin America and the Caribbean,Trinidad and Tobago,,0
2013,Bilateral,,,,,Latin America and the Caribbean,"West Indies, regional",,10765.87837
2013,Bilateral,,,,,Latin America and the Caribbean,Latin American and the Caribbean (Country Unspecifed),,1000.86794
2013,Bilateral,,,,,South America,,,21530.61
2013,Bilateral,,,,,South America,Argentina,,946.101455
2013,Bilateral,,,,,South America,Bolivia,,611.218588
2013,Bilateral,,,,,South America,Brazil,,5443.95778
2013,Bilateral,,,,,South America,Chile,,1973.398587
2013,Bilateral,,,,,South America,Colombia,,7186.819442
2013,Bilateral,,,,,South America,Ecuador,,433.694617
2013,Bilateral,,,,,South America,Guyana,,405.50893
2013,Bilateral,,,,,South America,Paraguay,,74.600794
2013,Bilateral,,,,,South America,Peru,,2108.550556
2013,Bilateral,,,,,South America,Suriname,,0
2013,Bilateral,,,,,South America,Uruguay,,357.4915975
2013,Bilateral,,,,,South America,Venezuela,,1989.270935
2013,Bilateral,,,,,South America,South America (Country Unspecifed),,0
2013,Bilateral,,,,,Europe,,,24060.47
2013,Bilateral,,,,,Europe,Albania,,758.54256
2013,Bilateral,,,,,Europe,Belarus,,650.093154
2013,Bilateral,,,,,Europe,Bosnia-Herzegovina,,1839.475324
2013,Bilateral,,,,,Europe,Croatia,,0
2013,Bilateral,,,,,Europe,Kosovo,,5932.014606
2013,Bilateral,,,,,Europe,Former Yugoslav Republic of Macedonia (FYROM),,1923.470941
2013,Bilateral,,,,,Europe,Moldova,,1072.016416
2013,Bilateral,,,,,Europe,Montenegro,,540.116853
2013,Bilateral,,,,,Europe,Serbia,,3233.646562
2013,Bilateral,,,,,Europe,Turkey,,5453.683274
2013,Bilateral,,,,,Europe,Ukraine,,2535.479825
2013,Bilateral,,,,,Europe,Yugoslavia - Ex-states unspecified,,0
2013,Bilateral,,,,,Europe,Europe (Country Unspecifed),,121.928
2013,Bilateral,,,,,Pacific countries,,,6211.6
2013,Bilateral,,,,,Pacific countries,Cook Islands,,0
2013,Bilateral,,,,,Pacific countries,Fiji,,953.220433
2013,Bilateral,,,,,Pacific countries,Kiribati,,13.95582
2013,Bilateral,,,,,Pacific countries,Marshall Islands,,2.013
2013,Bilateral,,,,,Pacific countries,Micronesia,,0
2013,Bilateral,,,,,Pacific countries,Nauru,,0
2013,Bilateral,,,,,Pacific countries,Niue,,0
2013,Bilateral,,,,,Pacific countries,Palau,,0
2013,Bilateral,,,,,Pacific countries,Papua New Guinea,,593.343363
2013,Bilateral,,,,,Pacific countries,Samoa,,174.2
2013,Bilateral,,,,,Pacific countries,Solomon Islands,,431.303345
2013,Bilateral,,,,,Pacific countries,Tokelau,,0
2013,Bilateral,,,,,Pacific countries,Tonga,,21.656551
2013,Bilateral,,,,,Pacific countries,Tuvalu,,2.013
2013,Bilateral,,,,,Pacific countries,Vanuatu,,56.7676
2013,Bilateral,,,,,Pacific countries,Wallis and Futuna,,1108.17
2013,Bilateral,,,,,Pacific countries,Pacific (Country Unspecifed),,2854.959
2013,Bilateral,,,,,Unspecified Country/Region,,,2268381.53
2013,Bilateral,,,,,Unspecified Country/Region,Unspecified Developing countries,,2101212.578
2013,Bilateral,,,,,Unspecified Country/Region,Africa (Country Unspecifed),,134006.7614
2013,Bilateral,,,,,Unspecified Country/Region,Asia (Country Unspecifed),,33067.31088
2013,Bilateral,,,,,Unspecified Country/Region,America (Country Unspecifed),,94.882314
2013,Multilateral,,,,,North Africa,,,213848.27
2013,Multilateral,,,,,North Africa,Algeria,,4730.07
2013,Multilateral,,,,,North Africa,Egypt,,-7185.17
2013,Multilateral,,,,,North Africa,Libya,,5017.16
2013,Multilateral,,,,,North Africa,Morocco,,171926.42
2013,Multilateral,,,,,North Africa,Tunisia,,35445.57
2013,Multilateral,,,,,North Africa,North of Sahara (Country Unspecifed),,3914.23
2013,Multilateral,,,,,Sub Saharan Africa,,,2069568.53
2013,Multilateral,,,,,Sub Saharan Africa,Angola,,16649.91
2013,Multilateral,,,,,Sub Saharan Africa,Benin,,43597.59
2013,Multilateral,,,,,Sub Saharan Africa,Botswana,,1447.99
2013,Multilateral,,,,,Sub Saharan Africa,Burkina Faso,,55803.87
2013,Multilateral,,,,,Sub Saharan Africa,Burundi,,34572.06
2013,Multilateral,,,,,Sub Saharan Africa,Cameroon,,44007.36
2013,Multilateral,,,,,Sub Saharan Africa,Cape Verde,,2264.29
2013,Multilateral,,,,,Sub Saharan Africa,Central African Republic,,8777.52
2013,Multilateral,,,,,Sub Saharan Africa,Chad,,20489.27
2013,Multilateral,,,,,Sub Saharan Africa,Comoros,,3850.49
2013,Multilateral,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,146003.98
2013,Multilateral,,,,,Sub Saharan Africa,"Congo, Republic",,8005.09
2013,Multilateral,,,,,Sub Saharan Africa,Ivory Coast,,50420.05
2013,Multilateral,,,,,Sub Saharan Africa,Djibouti,,4256.32
2013,Multilateral,,,,,Sub Saharan Africa,Equatorial Guinea,,-214.94
2013,Multilateral,,,,,Sub Saharan Africa,Eritrea,,7080.56
2013,Multilateral,,,,,Sub Saharan Africa,Ethiopia,,241688.27
2013,Multilateral,,,,,Sub Saharan Africa,Gabon,,906.85
2013,Multilateral,,,,,Sub Saharan Africa,Gambia,,7354.79
2013,Multilateral,,,,,Sub Saharan Africa,Ghana,,80028.37
2013,Multilateral,,,,,Sub Saharan Africa,Guinea,,19712.56
2013,Multilateral,,,,,Sub Saharan Africa,Guinea-Bissau,,6639.8
2013,Multilateral,,,,,Sub Saharan Africa,Kenya,,134800.08
2013,Multilateral,,,,,Sub Saharan Africa,Lesotho,,12965.03
2013,Multilateral,,,,,Sub Saharan Africa,Liberia,,21161.44
2013,Multilateral,,,,,Sub Saharan Africa,Madagascar,,30246.44
2013,Multilateral,,,,,Sub Saharan Africa,Malawi,,56194.45
2013,Multilateral,,,,,Sub Saharan Africa,Mali,,64044.88
2013,Multilateral,,,,,Sub Saharan Africa,Mauritania,,10426.06
2013,Multilateral,,,,,Sub Saharan Africa,Mauritius,,6453.21
2013,Multilateral,,,,,Sub Saharan Africa,Mayotte,,0
2013,Multilateral,,,,,Sub Saharan Africa,Mozambique,,79702.27
2013,Multilateral,,,,,Sub Saharan Africa,Namibia,,5722.44
2013,Multilateral,,,,,Sub Saharan Africa,Niger,,45515.76
2013,Multilateral,,,,,Sub Saharan Africa,Nigeria,,175548.93
2013,Multilateral,,,,,Sub Saharan Africa,Rwanda,,57048
2013,Multilateral,,,,,Sub Saharan Africa,Sao Tome and Principe,,3265.55
2013,Multilateral,,,,,Sub Saharan Africa,Senegal,,37564.57
2013,Multilateral,,,,,Sub Saharan Africa,Seychelles,,1047.74
2013,Multilateral,,,,,Sub Saharan Africa,Sierra Leone,,20892.22
2013,Multilateral,,,,,Sub Saharan Africa,Somalia,,17231.68
2013,Multilateral,,,,,Sub Saharan Africa,South Africa,,35136.57
2013,Multilateral,,,,,Sub Saharan Africa,South Sudan,,18911.77
2013,Multilateral,,,,,Sub Saharan Africa,St. Helena,,607.32
2013,Multilateral,,,,,Sub Saharan Africa,Sudan,,30881.78
2013,Multilateral,,,,,Sub Saharan Africa,Swaziland,,6622.7
2013,Multilateral,,,,,Sub Saharan Africa,Tanzania,,177712.62
2013,Multilateral,,,,,Sub Saharan Africa,Togo,,15022.73
2013,Multilateral,,,,,Sub Saharan Africa,Uganda,,86794.88
2013,Multilateral,,,,,Sub Saharan Africa,Zambia,,47662.34
2013,Multilateral,,,,,Sub Saharan Africa,Zimbabwe,,31021.43
2013,Multilateral,,,,,Sub Saharan Africa,South of Sahara (Country Unspecifed),,36021.6
2013,Multilateral,,,,,Middle East,,,163171.99
2013,Multilateral,,,,,Middle East,Iran,,2359.17
2013,Multilateral,,,,,Middle East,Iraq,,17213.22
2013,Multilateral,,,,,Middle East,Jordan,,21783.95
2013,Multilateral,,,,,Middle East,Lebanon,,18445.43
2013,Multilateral,,,,,Middle East,Oman,,0
2013,Multilateral,,,,,Middle East,Syria,,16897.07
2013,Multilateral,,,,,Middle East,West Bank and Gaza Strip,,42178.34
2013,Multilateral,,,,,Middle East,Yemen,,35844.95
2013,Multilateral,,,,,Middle East,Middle East (Country Unspecifed),,8449.87
2013,Multilateral,,,,,South and Central Asia,,,500824.83
2013,Multilateral,,,,,South and Central Asia,Afghanistan,,68088.38
2013,Multilateral,,,,,South and Central Asia,Armenia,,14964.37
2013,Multilateral,,,,,South and Central Asia,Azerbaijan,,-30085.02
2013,Multilateral,,,,,South and Central Asia,Bangladesh,,123744.72
2013,Multilateral,,,,,South and Central Asia,Bhutan,,4506.48
2013,Multilateral,,,,,South and Central Asia,Burma,,35019.96
2013,Multilateral,,,,,South and Central Asia,Georgia,,28289.27
2013,Multilateral,,,,,South and Central Asia,India,,68581.82
2013,Multilateral,,,,,South and Central Asia,Kazakhstan,,3920.54
2013,Multilateral,,,,,South and Central Asia,Kyrgyz Republic,,16662.57
2013,Multilateral,,,,,South and Central Asia,Maldives,,1331.87
2013,Multilateral,,,,,South and Central Asia,Nepal,,42779.6
2013,Multilateral,,,,,South and Central Asia,Pakistan,,62496.09
2013,Multilateral,,,,,South and Central Asia,Sri Lanka,,17754.02
2013,Multilateral,,,,,South and Central Asia,Tajikistan,,17881.65
2013,Multilateral,,,,,South and Central Asia,Turkmenistan,,1076.59
2013,Multilateral,,,,,South and Central Asia,Uzbekistan,,17238.04
2013,Multilateral,,,,,South and Central Asia,Unspecified South Asia Region,,1107.73
2013,Multilateral,,,,,South and Central Asia,Unspecified Central Asia Region,,3657.67
2013,Multilateral,,,,,South and Central Asia,South and CentralAsia (Country Unspecifed),,1808.48
2013,Multilateral,,,,,Far East Asia,,,276938.79
2013,Multilateral,,,,,Far East Asia,Cambodia,,22537.19
2013,Multilateral,,,,,Far East Asia,China,,-86878.15
2013,Multilateral,,,,,Far East Asia,Indonesia,,8272.19
2013,Multilateral,,,,,Far East Asia,"Korea, Democratic Republic",,4105.2
2013,Multilateral,,,,,Far East Asia,Laos,,12546.37
2013,Multilateral,,,,,Far East Asia,Malaysia,,1709.07
2013,Multilateral,,,,,Far East Asia,Mongolia,,4713.68
2013,Multilateral,,,,,Far East Asia,Philippines,,1126.96
2013,Multilateral,,,,,Far East Asia,Thailand,,89632.01
2013,Multilateral,,,,,Far East Asia,Timor-Leste,,4628.38
2013,Multilateral,,,,,Far East Asia,Vietnam,,211208.37
2013,Multilateral,,,,,Far East Asia,Far East Asia (Country Unspecifed),,3337.51
2013,Multilateral,,,,,Latin America and the Caribbean,,,126737.46
2013,Multilateral,,,,,Latin America and the Caribbean,Anguilla,,347.53
2013,Multilateral,,,,,Latin America and the Caribbean,Antigua and Barbuda,,25.85
2013,Multilateral,,,,,Latin America and the Caribbean,Barbados,,0
2013,Multilateral,,,,,Latin America and the Caribbean,Belize,,2241.26
2013,Multilateral,,,,,Latin America and the Caribbean,Costa Rica,,1261.61
2013,Multilateral,,,,,Latin America and the Caribbean,Cuba,,3046.81
2013,Multilateral,,,,,Latin America and the Caribbean,Dominica,,1204.03
2013,Multilateral,,,,,Latin America and the Caribbean,Dominican Republic,,6827.47
2013,Multilateral,,,,,Latin America and the Caribbean,El Salvador,,4892.41
2013,Multilateral,,,,,Latin America and the Caribbean,Grenada,,2964.03
2013,Multilateral,,,,,Latin America and the Caribbean,Guatemala,,4682.1
2013,Multilateral,,,,,Latin America and the Caribbean,Haiti,,30919.53
2013,Multilateral,,,,,Latin America and the Caribbean,Honduras,,22528.53
2013,Multilateral,,,,,Latin America and the Caribbean,Jamaica,,9686.9
2013,Multilateral,,,,,Latin America and the Caribbean,Mexico,,1565.21
2013,Multilateral,,,,,Latin America and the Caribbean,Montserrat,,455.93
2013,Multilateral,,,,,Latin America and the Caribbean,Nicaragua,,15328.24
2013,Multilateral,,,,,Latin America and the Caribbean,Panama,,-2.23
2013,Multilateral,,,,,Latin America and the Caribbean,St. Kitts-Nevis,,3739.01
2013,Multilateral,,,,,Latin America and the Caribbean,St. Lucia,,2499.25
2013,Multilateral,,,,,Latin America and the Caribbean,St.Vincent and Grenadines,,1158.34
2013,Multilateral,,,,,Latin America and the Caribbean,Trinidad and Tobago,,0
2013,Multilateral,,,,,Latin America and the Caribbean,"West Indies, regional",,1714.22
2013,Multilateral,,,,,Latin America and the Caribbean,Latin American and the Caribbean (Country Unspecifed),,9651.42
2013,Multilateral,,,,,South America,,,66726.15
2013,Multilateral,,,,,South America,Argentina,,968.23
2013,Multilateral,,,,,South America,Bolivia,,18819.93
2013,Multilateral,,,,,South America,Brazil,,10811.1
2013,Multilateral,,,,,South America,Chile,,1809.17
2013,Multilateral,,,,,South America,Colombia,,8271.5
2013,Multilateral,,,,,South America,Ecuador,,4215.61
2013,Multilateral,,,,,South America,Guyana,,3067.39
2013,Multilateral,,,,,South America,Paraguay,,2799
2013,Multilateral,,,,,South America,Peru,,5378.37
2013,Multilateral,,,,,South America,Suriname,,918.41
2013,Multilateral,,,,,South America,Uruguay,,1201.78
2013,Multilateral,,,,,South America,Venezuela,,1020.16
2013,Multilateral,,,,,South America,South America (Country Unspecifed),,7445.48
2013,Multilateral,,,,,Europe,,,396781.86
2013,Multilateral,,,,,Europe,Albania,,6872.93
2013,Multilateral,,,,,Europe,Belarus,,3794.16
2013,Multilateral,,,,,Europe,Bosnia-Herzegovina,,23744.4
2013,Multilateral,,,,,Europe,Croatia,,0
2013,Multilateral,,,,,Europe,Kosovo,,19863.88
2013,Multilateral,,,,,Europe,Former Yugoslav Republic of Macedonia (FYROM),,4577.12
2013,Multilateral,,,,,Europe,Moldova,,15242.56
2013,Multilateral,,,,,Europe,Montenegro,,4705.84
2013,Multilateral,,,,,Europe,Serbia,,43755.03
2013,Multilateral,,,,,Europe,Turkey,,194852.07
2013,Multilateral,,,,,Europe,Ukraine,,38885.44
2013,Multilateral,,,,,Europe,Yugoslavia - Ex-states unspecified,,22.85
2013,Multilateral,,,,,Europe,Europe (Country Unspecifed),,40465.56
2013,Multilateral,,,,,Pacific countries,,,42103.39
2013,Multilateral,,,,,Pacific countries,Cook Islands,,38.71
2013,Multilateral,,,,,Pacific countries,Fiji,,1715.37
2013,Multilateral,,,,,Pacific countries,Kiribati,,1739
2013,Multilateral,,,,,Pacific countries,Marshall Islands,,632.63
2013,Multilateral,,,,,Pacific countries,Micronesia,,155.01
2013,Multilateral,,,,,Pacific countries,Nauru,,95.09
2013,Multilateral,,,,,Pacific countries,Niue,,48.63
2013,Multilateral,,,,,Pacific countries,Palau,,39.81
2013,Multilateral,,,,,Pacific countries,Papua New Guinea,,14471.61
2013,Multilateral,,,,,Pacific countries,Samoa,,4106.36
2013,Multilateral,,,,,Pacific countries,Solomon Islands,,2634.34
2013,Multilateral,,,,,Pacific countries,Tokelau,,4.09
2013,Multilateral,,,,,Pacific countries,Tonga,,3703.57
2013,Multilateral,,,,,Pacific countries,Tuvalu,,631.35
2013,Multilateral,,,,,Pacific countries,Vanuatu,,307.41
2013,Multilateral,,,,,Pacific countries,Wallis and Futuna,,5164.2
2013,Multilateral,,,,,Pacific countries,Pacific (Country Unspecifed),,6616.21
2013,Multilateral,,,,,Unspecified Country/Region,,,834218.34
2013,Multilateral,,,,,Unspecified Country/Region,Unspecified Developing countries,,768870.91
2013,Multilateral,,,,,Unspecified Country/Region,Africa (Country Unspecifed),,44340.55
2013,Multilateral,,,,,Unspecified Country/Region,Asia (Country Unspecifed),,11697.55
2013,Multilateral,,,,,Unspecified Country/Region,America (Country Unspecifed),,9309.32
2014,,,,,,North Africa,,,288543.01
2014,,,,,,North Africa,Algeria,,13119.55
2014,,,,,,North Africa,Egypt,,-2738.27
2014,,,,,,North Africa,Libya,,31559.6
2014,,,,,,North Africa,Morocco,,208546.37
2014,,,,,,North Africa,Tunisia,,34639.41
2014,,,,,,North Africa,North of Sahara (Country Unspecifed),,3416.35
2014,,,,,,Sub Saharan Africa,,,4512861.95
2014,,,,,,Sub Saharan Africa,Angola,,15913.99
2014,,,,,,Sub Saharan Africa,Benin,,37565.47
2014,,,,,,Sub Saharan Africa,Botswana,,3131.23
2014,,,,,,Sub Saharan Africa,Burkina Faso,,67626.51
2014,,,,,,Sub Saharan Africa,Burundi,,35502.44
2014,,,,,,Sub Saharan Africa,Cameroon,,98566.49
2014,,,,,,Sub Saharan Africa,Cape Verde,,5194.89
2014,,,,,,Sub Saharan Africa,Central African Republic,,47685.41
2014,,,,,,Sub Saharan Africa,Chad,,17561.64
2014,,,,,,Sub Saharan Africa,Comoros,,4392.36
2014,,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,311113.98
2014,,,,,,Sub Saharan Africa,"Congo, Republic",,5899.63
2014,,,,,,Sub Saharan Africa,Ivory Coast,,62783.61
2014,,,,,,Sub Saharan Africa,Djibouti,,4790.08
2014,,,,,,Sub Saharan Africa,Equatorial Guinea,,-897.82
2014,,,,,,Sub Saharan Africa,Eritrea,,12617.25
2014,,,,,,Sub Saharan Africa,Ethiopia,,545175.35
2014,,,,,,Sub Saharan Africa,Gabon,,589.4
2014,,,,,,Sub Saharan Africa,Gambia,,17082.06
2014,,,,,,Sub Saharan Africa,Ghana,,140540.25
2014,,,,,,Sub Saharan Africa,Guinea,,31440.96
2014,,,,,,Sub Saharan Africa,Guinea-Bissau,,8117.34
2014,,,,,,Sub Saharan Africa,Kenya,,280838.87
2014,,,,,,Sub Saharan Africa,Lesotho,,3516.44
2014,,,,,,Sub Saharan Africa,Liberia,,36200.34
2014,,,,,,Sub Saharan Africa,Madagascar,,40562.43
2014,,,,,,Sub Saharan Africa,Malawi,,110779.12
2014,,,,,,Sub Saharan Africa,Mali,,55341.23
2014,,,,,,Sub Saharan Africa,Mauritania,,8895.8
2014,,,,,,Sub Saharan Africa,Mauritius,,440.4
2014,,,,,,Sub Saharan Africa,Mayotte,,0
2014,,,,,,Sub Saharan Africa,Mozambique,,171148
2014,,,,,,Sub Saharan Africa,Namibia,,3979.14
2014,,,,,,Sub Saharan Africa,Niger,,64808.29
2014,,,,,,Sub Saharan Africa,Nigeria,,428530.44
2014,,,,,,Sub Saharan Africa,Rwanda,,114621.03
2014,,,,,,Sub Saharan Africa,Sao Tome and Principe,,2149.24
2014,,,,,,Sub Saharan Africa,Senegal,,39311.89
2014,,,,,,Sub Saharan Africa,Seychelles,,607.92
2014,,,,,,Sub Saharan Africa,Sierra Leone,,276665.23
2014,,,,,,Sub Saharan Africa,Somalia,,142157.48
2014,,,,,,Sub Saharan Africa,South Africa,,37090.62
2014,,,,,,Sub Saharan Africa,South Sudan,,194218.32
2014,,,,,,Sub Saharan Africa,St. Helena,,76214.47
2014,,,,,,Sub Saharan Africa,Sudan,,74824.92
2014,,,,,,Sub Saharan Africa,Swaziland,,3288.16
2014,,,,,,Sub Saharan Africa,Tanzania,,310658.48
