Year,Sex,Age,Occupation category,Occupation sub-category,Value
2006,Female,30 to 49,Sales and customer service occupations,,6.88
2006,Female,50 to 59,Sales and customer service occupations,,6.63
2006,Female,60 and over,Sales and customer service occupations,,6.39
2006,Female,18 to 21,Sales and customer service occupations,Sales occupations,5.89
2006,Female,22 to 29,Sales and customer service occupations,Sales occupations,6.87
2006,Female,30 to 39,Sales and customer service occupations,Sales occupations,7.14
2006,Female,30 to 49,Sales and customer service occupations,Sales occupations,6.61
2006,Female,50 to 59,Sales and customer service occupations,Sales occupations,6.4
2006,Female,60 and over,Sales and customer service occupations,Sales occupations,6.26
2006,Female,18 to 21,Sales and customer service occupations,Customer service occupations,6.7
2006,Female,22 to 29,Sales and customer service occupations,Customer service occupations,7.88
2006,Female,30 to 39,Sales and customer service occupations,Customer service occupations,8.65
2006,Female,30 to 49,Sales and customer service occupations,Customer service occupations,7.94
2006,Female,50 to 59,Sales and customer service occupations,Customer service occupations,8.06
2006,Female,60 and over,Sales and customer service occupations,Customer service occupations,7.21
2006,Female,18 to 21,"Process, plant and machine operatives",,6.74
2006,Female,22 to 29,"Process, plant and machine operatives",,7.53
2006,Female,30 to 39,"Process, plant and machine operatives",,7.72
2006,Female,30 to 49,"Process, plant and machine operatives",,7.69
2006,Female,50 to 59,"Process, plant and machine operatives",,7.23
2006,Female,60 and over,"Process, plant and machine operatives",,6.87
2006,Female,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",6.67
2006,Female,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",7.46
2006,Female,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",7.65
2006,Female,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",7.71
2006,Female,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",7.21
2006,Female,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",6.88
2006,Female,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.01
2006,Female,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.81
2006,Female,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.06
2006,Female,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.58
2006,Female,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.38
2006,Female,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,6.71
2006,Female,18 to 21,Elementary occupations,,5.68
2006,Female,22 to 29,Elementary occupations,,6.33
2006,Female,30 to 39,Elementary occupations,,6.8
2006,Female,30 to 49,Elementary occupations,,6.7
2006,Female,50 to 59,Elementary occupations,,6.54
2006,Female,60 and over,Elementary occupations,,6.22
2006,Female,18 to 21,Elementary occupations,Elementary trades and related occupations,6.16
2006,Female,22 to 29,Elementary occupations,Elementary trades and related occupations,6.74
2006,Female,30 to 39,Elementary occupations,Elementary trades and related occupations,7.48
2006,Female,30 to 49,Elementary occupations,Elementary trades and related occupations,7.3
2006,Female,50 to 59,Elementary occupations,Elementary trades and related occupations,6.99
2006,Female,60 and over,Elementary occupations,Elementary trades and related occupations,6.73
2006,Female,18 to 21,Elementary occupations,Elementary administration and service occupations,5.6
2006,Female,22 to 29,Elementary occupations,Elementary administration and service occupations,6.2
2006,Female,30 to 39,Elementary occupations,Elementary administration and service occupations,6.61
2006,Female,30 to 49,Elementary occupations,Elementary administration and service occupations,6.53
2006,Female,50 to 59,Elementary occupations,Elementary administration and service occupations,6.44
2006,Female,60 and over,Elementary occupations,Elementary administration and service occupations,6.16
2007,,,,,13.38
2007,,18 to 21,,,7.03
2007,,22 to 29,,,10.75
2007,,30 to 39,,,14.5
2007,,30 to 49,,,15.1
2007,,50 to 59,,,14.22
2007,,60 and over,,,12.1
2007,,18 to 21,"Managers, directors and senior officials",,9.03
2007,,22 to 29,"Managers, directors and senior officials",,13.75
2007,,30 to 39,"Managers, directors and senior officials",,20.89
2007,,30 to 49,"Managers, directors and senior officials",,23.67
2007,,50 to 59,"Managers, directors and senior officials",,22.62
2007,,60 and over,"Managers, directors and senior officials",,18.87
2007,,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,9.59
2007,,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,14.64
2007,,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,21.76
2007,,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,24.65
2007,,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,23.63
2007,,60 and over,"Managers, directors and senior officials",Corporate managers and directors,19.83
2007,,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,7.9
2007,,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,10.35
2007,,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,14.74
2007,,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,17.22
2007,,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,16.55
2007,,60 and over,"Managers, directors and senior officials",Other managers and proprietors,14.37
2007,,18 to 21,Professional occupations,,10.22
2007,,22 to 29,Professional occupations,,15.86
2007,,30 to 39,Professional occupations,,20.41
2007,,30 to 49,Professional occupations,,22.35
2007,,50 to 59,Professional occupations,,22.33
2007,,60 and over,Professional occupations,,21.4
2007,,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",9.9
2007,,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",14.67
2007,,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",19.17
2007,,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",20.24
2007,,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",19.81
2007,,60 and over,Professional occupations,"Science, research, engineering and technology professionals",17.15
2007,,22 to 29,Professional occupations,Health professionals,17.9
2007,,30 to 39,Professional occupations,Health professionals,26.15
2007,,30 to 49,Professional occupations,Health professionals,40.39
2007,,50 to 59,Professional occupations,Health professionals,39.34
2007,,60 and over,Professional occupations,Health professionals,35.53
2007,,18 to 21,Professional occupations,Teaching and educational professionals,12.66
2007,,22 to 29,Professional occupations,Teaching and educational professionals,15.34
2007,,30 to 39,Professional occupations,Teaching and educational professionals,19.09
2007,,30 to 49,Professional occupations,Teaching and educational professionals,21.14
2007,,50 to 59,Professional occupations,Teaching and educational professionals,22.89
2007,,60 and over,Professional occupations,Teaching and educational professionals,23.34
2007,,18 to 21,Professional occupations,"Business, media and public service professionals",9.33
2007,,22 to 29,Professional occupations,"Business, media and public service professionals",17.14
2007,,30 to 39,Professional occupations,"Business, media and public service professionals",21.83
2007,,30 to 49,Professional occupations,"Business, media and public service professionals",21.57
